Structure;Poste;Nom base français;Spécificité 1;Spécificité 2;Tags français;Unité français;Localisation géographique;Incertitude;Total poste non décomposé;Code de la catégorie;Sous catégorie 1;Sous catégorie 2;Sous catégorie 3;Sous catégorie 4
élément non décomposé;Poste 11;Emballages;Plastique souple PE pétrosourcé;Fin de vie moyenne filière - Impacts;PE,Plastique,Déchet,Emballage,Fin de vie moyenne;kgCO2e/tonne de déchets;France continentale;20;1907;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PE;
élément non décomposé;Poste 11;Emballages;Plastique souple PET biosourcé;Fin de vie moyenne filière - Impacts;Fin de vie moyenne,Plastique,PET,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;50;123;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PET;
élément non décomposé;Poste 11;Emballages;Plastique souple PET pétrosourcé;Fin de vie moyenne filière - Impacts;Fin de vie moyenne,Plastique,PET,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;1489;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PET;
élément non décomposé;Poste 11;Emballages;Plastique souple PP biosourcé;Fin de vie moyenne filière - Impacts;Fin de vie moyenne,Plastique,PP,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;50;97;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PP;
élément non décomposé;Poste 11;Emballages;Plastique souple PP pétrosourcé;Fin de vie moyenne filière - Impacts;Fin de vie moyenne,Plastique,PP,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;1923;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PP;
élément non décomposé;Poste 11;Emballages;Verre;Fin de vie moyenne filière - Impacts;Verre,Déchet,Emballage,Fin de vie moyenne;kgCO2e/tonne de déchets;France continentale;20;496;Traitement des déchets ; Ménages et assimilés ; Emballages ; Verre;
élément non décomposé;Poste 11;Emballages;Verre;Incinération - Impacts;Verre,Incinération,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;130;Traitement des déchets ; Ménages et assimilés ; Emballages ; Verre;
élément non décomposé;Poste 11;Emballages;Verre;Recyclage - Impacts;Verre,Déchet,Recyclage,Emballage;kgCO2e/tonne de déchets;France continentale;20;639;Traitement des déchets ; Ménages et assimilés ; Emballages ; Verre;
élément non décomposé;Poste 11;Emballages;Verre;Stockage - Impacts;Verre,Déchet,Emballage,Stockage;kgCO2e/tonne de déchets;France continentale;20;41;Traitement des déchets ; Ménages et assimilés ; Emballages ; Verre;
élément décomposé par poste;Poste 10;Enceinte;active Bluetooth;;Bluetooth,connecté,informatique,numérique,Audio,Enceinte;kgCO2e/unité;France continentale;50;8,98;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste et par gaz;Poste 10;Enceinte à commande vocale;;;informatique,equipement,Enceinte,son;kgCO2e/unité;France continentale;50;30,7;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément non décomposé;Poste 9;Encre couleur impression offset;/;/;fourniture de bureau,Imprimante,cartouche d'encre;kgCO2e/tonne;France continentale;100;1870;Achats de biens ; Autres produits manufacturés ; Consommables de bureau;;
élément non décomposé;Poste 9;Encre d'imprimerie en solution toluène;/;/;fourniture de bureau,Imprimante,cartouche d'encre;kgCO2e/tonne;France continentale;100;2750;Achats de biens ; Autres produits manufacturés ; Consommables de bureau;;
élément décomposé par gaz;Poste 9;Engrais;azoté moyen;/;engrais,fertilisant;kgCO2e/tonne de N;Europe;30;4267;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par gaz;Poste 9;Engrais;binaire NK;part K2O;engrais,fertilisant;kgCO2e/tonne de K2O;Europe;30;451;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par gaz;Poste 9;Engrais;binaire NK;part N;engrais,fertilisant;kgCO2e/tonne de N;Europe;30;2982;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par gaz;Poste 9;Engrais;binaire NP;/;engrais,fertilisant;kgCO2e/tonne de N;Europe;30;4320;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par gaz;Poste 9;Engrais;binaire PK;part K2O;engrais,fertilisant;kgCO2e/tonne de K2O;Europe;30;451;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par gaz;Poste 9;Engrais;binaire PK;part P2O5;engrais,fertilisant;kgCO2e/tonne de P2O5;Europe;30;581;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par gaz;Poste 9;Engrais;phosphaté moyen;/;engrais,fertilisant;kgCO2e/tonne de P2O5;Europe;30;1350;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par gaz;Poste 9;Engrais;potassique moyen;/;engrais,fertilisant;kgCO2e/tonne de K2O;Europe;30;678;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par gaz;Poste 9;Engrais;ternaire;part K2O;engrais,fertilisant;kgCO2e/tonne de K2O;Europe;30;470;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par gaz;Poste 9;Engrais;ternaire;part N;engrais,fertilisant;kgCO2e/tonne de N;Europe;30;5027;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par gaz;Poste 9;Engrais;ternaire;part P2O5;engrais,fertilisant;kgCO2e/tonne de P2O5;Europe;30;467;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément non décomposé;Poste 9;Enrobé;à module élevé;/;matériaux de construction,route,enrobés routiers;kgCO2e/tonne;France continentale;20;55,1;Achats de biens ; Produits minéraux non métalliques ; Enrobés pour la route;;
élément non décomposé;Poste 9;Enrobé;tiède;/;matériaux de construction,route,enrobés routiers;kgCO2e/tonne;France continentale;20;52,8;Achats de biens ; Produits minéraux non métalliques ; Enrobés pour la route;;
élément non décomposé;Poste 9;Enrobés bitumineux;/;/;matériaux de construction,route,enrobés routiers;kgCO2e/tonne;France continentale;20;53,3;Achats de biens ; Produits minéraux non métalliques ; Enrobés pour la route;;
élément non décomposé;Poste 9;Enrobés bitumineux;à froid;/;matériaux de construction,route,enrobés routiers;kgCO2e/tonne;France continentale;20;36,2;Achats de biens ; Produits minéraux non métalliques ; Enrobés pour la route;;
élément non décomposé;Poste 9;Enrobés bitumineux;avec 10% REC;/;matériaux de construction,route,enrobés routiers;kgCO2e/tonne;France continentale;20;51,1;Achats de biens ; Produits minéraux non métalliques ; Enrobés pour la route;;
élément non décomposé;Poste 9;Enrobés bitumineux;avec 20% REC;/;matériaux de construction,route,enrobés routiers;kgCO2e/tonne;France continentale;20;43,7;Achats de biens ; Produits minéraux non métalliques ; Enrobés pour la route;;
élément non décomposé;Poste 9;Enrobés bitumineux;avec 30% REC;/;matériaux de construction,route,enrobés routiers;kgCO2e/tonne;France continentale;20;41,5;Achats de biens ; Produits minéraux non métalliques ; Enrobés pour la route;;
élément non décomposé;Poste 9;Enrobés bitumineux;avec 50% REC;/;matériaux de construction,route,enrobés routiers;kgCO2e/tonne;France continentale;20;36,9;Achats de biens ; Produits minéraux non métalliques ; Enrobés pour la route;;
élément non décomposé;Poste 10;Etablissement d'enseignement;structure en béton;;Bâtiment,Etablissement d'enseignement;kgCO2e/m²;France continentale;50;440;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Bâtiments;;
élément non décomposé;Poste 10;Etablissement de santé;structure en béton;;Bâtiment,Etablissement de santé;kgCO2e/m²;France continentale;50;440;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Bâtiments;;
élément non décomposé;Poste 9;Ethanol rectifié d'origine viti-vinicole;/;/;viticulture,ethanol;kgCO2e/tonne;France continentale;50;1830;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Produits chimiques spécifiques à la viticulture
élément non décomposé;Poste 9;Etiquettes papier imprimé;/;/;PAPIER,étiquette;kgCO2e/tonne;France continentale;50;2930;Achats de biens ; Papier, carton;;;
élément non décomposé;Poste 9;Fibre de verre;/;neuf;Verre;kgCO2e/kg;France continentale;20;2,13;Achats de biens ; Produits minéraux non métalliques ; Verres et articles en verre ; Autres verres;
élément non décomposé;Poste 9;Fibre de verre;/;recyclé;Verre;kgCO2e/kg;France continentale;20;2,13;Achats de biens ; Produits minéraux non métalliques ; Verres et articles en verre ; Autres verres;
élément non décomposé;Poste 9;Films plastiques PET :pas recyclable;neuf;/;Plastique,PET,polytéréphtalate d'éthylène;kgCO2e/tonne;France continentale;20;5500;Achats de biens ; Plastiques et produits chimiques ; Plastiques et caoutchouc ; Polymères de l'éthylène;
élément non décomposé;Poste 9;Films plastiques PET :pas recyclable;recyclé;/;Plastique,PET,polytéréphtalate d'éthylène;kgCO2e/tonne;France continentale;20;2460;Achats de biens ; Plastiques et produits chimiques ; Plastiques et caoutchouc ; Polymères de l'éthylène;
élément décomposé par gaz;Poste 9;Fongicide moyen;/;/;phytosanitaire,fongicide;kgCO2e/kg de matière active;Europe;50;6,14;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Phytosanitaires
élément décomposé par poste;Poste 10;Four;électrique encastrable;;Cuisine,électroménager,four,électrique encastrable;kgCO2e/unité;France continentale;30;217;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste;Poste 10;Four;professionnel;vapeur combi électrique;Cuisine,électroménager,four;kgCO2e/unité;France continentale;30;865;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste et par gaz;Poste 12;Fourgon;8 m3;;Fourgon,déménagement,camion,fret;kgCO2e/m3.km;France continentale;70;0,192;Transport de marchandises ; Routier ; Par usage ; Déménagement;
élément non décomposé;Poste 9;Fumier en tas;/;/;engrais,fertilisant,fumier;kgCO2e/tonne;Europe;30;3,32;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément non décomposé;Poste 10;Garage;structure en béton;;Bâtiment,Garage;kgCO2e/m²;France continentale;50;656;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Bâtiments;;
élément non décomposé;Poste 10;Garage;structure métallique;;Bâtiment,Garage;kgCO2e/m²;France continentale;50;220;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Bâtiments;;
élément décomposé par poste et par gaz;Poste 12;Gazier;Petit GPL;Donnée 2009;bateau,gazier,fret;kgCO2e/t.km;France continentale;60;0,0546;Transport de marchandises ; Maritime ; Gaziers;;
élément décomposé par poste et par gaz;Poste 12;Gazier;VLGC :Very Large Gas Carrier;Donnée 2009;bateau,gazier,fret;kgCO2e/t.km;France continentale;60;0,0147;Transport de marchandises ; Maritime ; Gaziers;;
élément décomposé par poste;Poste 10;Gazinière;Gazinière;;Cuisine,électroménager,Gazinière;kgCO2e/unité;France continentale;30;163;Achats de biens ; Machines et équipements ; Electroménager;;
élément non décomposé;Poste 10;Glissière de sécurité;pour voirie de type TC5;;Voirie;kgCO2e/m de route;France continentale;15;87,5;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Glissière de sécurité;
élément non décomposé;Poste 10;Glissière de sécurité;pour voirie de type TC6;;Voirie;kgCO2e/m de route;France continentale;15;280;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Glissière de sécurité;
élément non décomposé;Poste 10;Glissière de sécurité;pour voirie de type TC7;;Voirie;kgCO2e/m de route;France continentale;15;280;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Glissière de sécurité;
élément non décomposé;Poste 9;Granulat, grave;ciment;/;matériaux de construction,route,enrobés routiers,granulat;kgCO2e/tonne;France continentale;20;50,6;Achats de biens ; Produits minéraux non métalliques ; Enrobés pour la route;;
élément non décomposé;Poste 9;Granulats;/;sortie carrière;granulat;kgCO2e/tonne;France continentale;50;4;Achats de biens ; Minerais, granulats, tourbes ; Granulats;;
élément non décomposé;Poste 9;Granulats;recyclés;sortie carrière;granulat;kgCO2e/tonne;France continentale;50;3;Achats de biens ; Minerais, granulats, tourbes ; Granulats;;
élément non décomposé;Poste 9;Grave, bitume 3;/;/;matériaux de construction,route,enrobés routiers,grave;kgCO2e/tonne;France continentale;20;46,5;Achats de biens ; Produits minéraux non métalliques ; Enrobés pour la route;;
élément non décomposé;Poste 9;Grave, ciment préfissurée;/;/;matériaux de construction,route,enrobés routiers,grave;kgCO2e/tonne;France continentale;20;51,6;Achats de biens ; Produits minéraux non métalliques ; Enrobés pour la route;;
élément non décomposé;Poste 9;Grave, émulsion;/;/;matériaux de construction,route,enrobés routiers,grave;kgCO2e/tonne;France continentale;20;30,2;Achats de biens ; Produits minéraux non métalliques ; Enrobés pour la route;;
élément non décomposé;Poste 9;Grave, liant hydraulique;/;/;matériaux de construction,route,enrobés routiers,grave;kgCO2e/tonne;France continentale;20;20,6;Achats de biens ; Produits minéraux non métalliques ; Enrobés pour la route;;
élément non décomposé;Poste 9;Grave, liant routier préfissurée;/;/;matériaux de construction,route,enrobés routiers,grave;kgCO2e/tonne;France continentale;20;21,6;Achats de biens ; Produits minéraux non métalliques ; Enrobés pour la route;;
élément non décomposé;Poste 9;Grave, non traitée;/;/;matériaux de construction,route,enrobés routiers,grave;kgCO2e/tonne;France continentale;20;14,5;Achats de biens ; Produits minéraux non métalliques ; Enrobés pour la route;;
élément non décomposé;Poste 10;Groupe électrogène;;;équipement électrique,groupe électrogène;kgCO2e/kg;Monde;60;1,83;Achats de biens ; Machines et équipements ; Equipements électriques;;
élément décomposé par gaz;Poste 9;Herbicide;/;/;phytosanitaire,herbicide;kgCO2e/kg de matière active;Europe;50;9,15;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Phytosanitaires
élément non décomposé;Poste 9;Hexane;/;/;hexane;kgCO2e/tonne;France continentale;50;313;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Produits chimiques de base;
élément décomposé par poste;Poste 10;Home cinéma;;;informatique,Audio visuel,numérique,Home cinéma;kgCO2e/unité;France continentale;50;133;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
